dataset,target,n_partners,n_target,n_min,n_partner_total,d_target,ratio_partner_to_target,events_target,epv_target,schema_jaccard,q_median,i2_median,benefit,helped
heart-4site,switzerland,1,86,86,140,10,1.627906976744186,115,0.6,0.6666666666666666,1.4468520073735434,0.3060247921273417,0.002760512436342788,1
heart-4site,va,1,140,140,212,11,1.5142857142857142,149,3.272727272727273,0.8461538461538461,8.155855787641835,0.8773887098990579,0.03615346008094178,1
heart-4site,va,1,140,140,212,10,1.5142857142857142,149,3.6,0.7692307692307693,4.30707661856087,0.6934602618126564,0.013822675026466169,1
heart-4site,va,2,140,140,417,11,2.9785714285714286,149,3.272727272727273,0.7692307692307693,13.265380682359169,0.8533932875908723,0.036198617276736345,1
heart-4site,va,2,140,140,417,10,2.9785714285714286,149,3.6,0.7692307692307693,28.7967125470742,0.9010527674020488,0.022665378254550395,1
heart-4site,va,3,140,86,503,11,3.592857142857143,149,3.272727272727273,0.6153846153846154,17.735523564264223,0.902353930497168,0.026243838893552085,1
heart-4site,va,3,140,86,503,10,3.592857142857143,149,3.6,0.6153846153846154,40.413286985616566,0.9267592399934287,0.028580656608721666,1
heart-4site,va,1,140,140,205,11,1.4642857142857142,149,3.272727272727273,0.9090909090909091,1.1950153203184888,0.20483068593249898,0.01609146796880867,1
heart-4site,va,1,140,140,205,10,1.4642857142857142,149,3.6,1.0,8.291476425649368,0.8790893697866891,0.004496651231331583,1
heart-4site,va,1,140,86,86,11,0.6142857142857143,149,3.272727272727273,0.75,2.802814861363981,0.6432158207148391,0.004986580403270824,1
heart-4site,va,1,140,86,86,10,0.6142857142857143,149,3.6,0.6666666666666666,1.4468520073735434,0.3060247921273417,0.030343042705947898,1
mimic-11site,CCU-care,4,2722,1535,12976,27,4.767083027185893,425,11.0,0.575,324.9517815521699,0.9916761580316471,-0.03276499553273843,0
mimic-11site,CCU-care,4,2722,1535,12976,27,4.767083027185893,425,11.0,0.575,340.5125880403878,0.9889523334125562,-0.0030462326510344306,0
mimic-11site,CCU-care,3,2722,1535,9400,27,3.4533431300514326,425,11.0,0.7352941176470589,299.2184193001909,0.9924742524292816,-0.002819799034405157,0
mimic-11site,CCU-care,3,2722,1535,9400,27,3.4533431300514326,425,11.0,0.7352941176470589,278.0550525595685,0.9888121330399979,0.018937704846868908,1
mimic-11site,CCU-care,1,2722,2722,3483,27,1.2795738427626746,425,11.0,0.5897435897435898,79.14971389881595,0.9873657155441093,-0.028084431923976083,0
mimic-11site,CCU-care,1,2722,2722,3483,27,1.2795738427626746,425,11.0,0.5897435897435898,107.9149571080219,0.9907334439377202,0.023965449480442658,1
mimic-11site,CCU-care,1,2722,2031,2031,27,0.7461425422483468,425,11.0,0.575,56.916682539788646,0.9824304587797974,-0.023518117554542417,0
mimic-11site,CCU-care,1,2722,2031,2031,27,0.7461425422483468,425,11.0,0.575,10.675894745567236,0.9063310360552953,-0.01569552304955729,0
mimic-11site,CCU-care,4,2722,1527,11819,27,4.342027920646584,425,11.0,0.575,531.0372913392431,0.9924223125082083,-0.037481047760192676,0
mimic-11site,CCU-care,4,2722,1527,11819,27,4.342027920646584,425,11.0,0.575,395.8020586825668,0.9897722549379897,0.006488460331589563,1
mimic-11site,CCU-care,3,2722,2031,9989,27,3.6697281410727407,425,11.0,0.575,353.9212650237091,0.9929840714703964,-0.015456005415202811,0
mimic-11site,CCU-care,3,2722,2031,9989,27,3.6697281410727407,425,11.0,0.575,348.51189350308505,0.9919930371984663,0.005641976387540881,1
mimic-11site,CCU-care,3,2722,1527,12981,27,4.768919911829537,425,11.0,0.7575757575757576,260.5488725054841,0.9884518616164479,-0.009666500727282867,0
mimic-11site,CCU-care,3,2722,1527,12981,27,4.768919911829537,425,11.0,0.7575757575757576,342.0247245778044,0.9905621459792003,0.017986226905562397,1
mimic-11site,CCU-care,2,2722,1527,7512,27,2.759735488611315,425,11.0,0.78125,245.61318334076083,0.9918406627441536,0.006901006399607057,1
