method,stratum,brier,ece,slope,auprc,dataset
pattern,high_miss,0.03152324857885942,0.07039705989493805,4.7644367280180004,0.9308663816403755,hypothyroid
pooled,all,0.022057254563229604,0.029330687152372994,1.0852705546176866,0.9131279982298989,hypothyroid
pooled,high_miss,0.019828220695554948,0.02460046633130859,1.0742972816915992,0.9446755800622405,hypothyroid
pattern,all,0.03509686887116167,0.05141207466989256,2.355641706516034,0.8492510205406747,hypothyroid
pattern,high_miss,0.03585367799436239,0.05744118767050184,2.827506905068876,0.907774645330047,hypothyroid
pooled,all,0.02398664091716132,0.01128166636135358,0.39873949333592884,0.7993978077197157,hypothyroid
pooled,high_miss,0.02772437152924911,0.024801767844004237,0.34772265393294743,0.723301906816689,hypothyroid
pattern,all,0.03482855425830488,0.03918266196312122,1.602914318133464,0.7925662735398507,hypothyroid
pattern,high_miss,0.03655355984533683,0.04000473710004113,1.3096569346119598,0.7543367629548494,hypothyroid
pooled,all,0.017540960558898575,0.021862702208468053,1.1199548815030238,0.9321326551268454,hypothyroid
pooled,high_miss,0.011615367277550987,0.024152092139687865,0.41986912531921244,0.7918791085457751,hypothyroid
pattern,all,0.03238270067473236,0.03901539159182177,2.37754585534052,0.855359372664382,hypothyroid
pattern,high_miss,0.016936589086544038,0.03534553962314322,2.8473807681507184,0.9051066217732886,hypothyroid
pooled,all,0.022243136344878466,0.03623382749719256,1.8873449396300337,0.939667772737872,hypothyroid
pooled,high_miss,0.024034678087361556,0.04029989704259464,3.005968564692373,0.9692246750576525,hypothyroid
pattern,all,0.038124093787906085,0.05456065752995448,3.0821609915925925,0.8338563669081052,hypothyroid
pattern,high_miss,0.04573540268958006,0.05778312887979868,3.4333603232722645,0.8642480546997354,hypothyroid
pooled,all,0.015600410684251446,0.028374768139876383,1.4347889395261013,0.9414075750964862,hypothyroid
pooled,high_miss,0.0133288978297437,0.024420762895922023,3.3772365934591915,0.9713435374149659,hypothyroid
pattern,all,0.029764229060885,0.05729865733763581,2.441462920183115,0.8985009290868612,hypothyroid
pattern,high_miss,0.025995199610038468,0.06089906383171763,4.196287849578115,0.9034955648926235,hypothyroid
pooled,all,0.02060436504206654,0.02114141922812824,1.0099407371319113,0.8850675454621075,hypothyroid
pooled,high_miss,0.01703500167935655,0.018676034689484384,3.0459485626734417,0.956845238095238,hypothyroid
pattern,all,0.033348127596558294,0.04720278022283031,2.529521551571054,0.8539396540692766,hypothyroid
pattern,high_miss,0.03204217016881613,0.04143330466294479,2.8426671438607114,0.8534446939817784,hypothyroid
pooled,all,0.022025338615621528,0.028725517343964727,0.867808810227142,0.8955040105764711,hypothyroid
pooled,high_miss,0.020036136862914992,0.007187435505284357,0.5671667196454206,0.862084451760565,hypothyroid
pattern,all,0.03663810840877071,0.04537793183488609,1.8919537671959914,0.8053130759241706,hypothyroid
pattern,high_miss,0.027755766173831065,0.03187802544796449,1.968553757797149,0.8021061217566825,hypothyroid
