dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,lam_1se,lam_cv,lam_cw,d_local,d_extra,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_blend_cw,ap_blend_1se,ap_blend_cv,ap_oracle_extrap,ap_oracle_rich,ap_oracle_half,ap_oracle_honest,ap_blend_half,ap_ditto,ap_oracle_ditto,ap_oracle_lambda_cw,ap_gate_loso,cut_loso,ap_gate_bestcut
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.25,0.375,0.0,0.25,0.0,36,6,0.34826413715444277,0.29713130022364,0.29713130022364,0.34826413715444277,0.35355604499914733,0.35355604499914733,0.35342636632995517,0.3345123311308536,0.34826413715444277,0.3551434569657907,0.36275167054241725,0.34826413715444277,0.35355604499914733,0.3551434569657907,0.3551434569657907,0.36335771221033764,0.3325533445003751,0.3599867450218969,0.3149799016034735,0.3149799016034735,0.36351467552695177,0.34826413715444277,2.103448275862069,0.34826413715444277
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.625,0.0,0.5,0.25,0.5,36,6,0.4092145479713987,0.29422467700536514,0.29422467700536514,0.29422467700536514,0.3546290005960694,0.4013170419161245,0.37298259861321903,0.33962573390299233,0.4092145479713987,0.4092145479713987,0.3571264978191156,0.37298259861321903,0.4013170419161245,0.40974212633611257,0.40974212633611257,0.4150655466658041,0.40232957197287145,0.3613602543201712,0.3435320011182773,0.37976943427801907,0.368571147239455,0.4092145479713987,2.103448275862069,0.4092145479713987
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.625,0.125,0.5,0.375,0.625,36,6,0.34393305672462177,0.25925023951013704,0.25925023951013704,0.34393305672462177,0.3131229535699826,0.341648551264348,0.32688058269419584,0.2988044672527315,0.34393305672462177,0.34440964062047125,0.3025821252732684,0.32688058269419584,0.3379086946835159,0.34440964062047125,0.34440964062047125,0.34945011627199496,0.33737362772944274,0.3194402164092314,0.3264075682995,0.3264075682995,0.31054519086270393,0.34393305672462177,2.103448275862069,0.34393305672462177
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.125,0.25,0.0,0.375,0.125,36,6,0.34547175468447533,0.2785445131518123,0.2785445131518123,0.34547175468447533,0.35142273891776565,0.3535960906453517,0.3434656226835248,0.32337091551368186,0.34547175468447533,0.3535960906453517,0.3627963584298255,0.34547175468447533,0.34930120151699323,0.3535960906453517,0.3535960906453517,0.35712437566996946,0.34229505105145686,0.35120411462115153,0.317301367000988,0.317301367000988,0.3643517949785494,0.34547175468447533,2.103448275862069,0.34547175468447533
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.5,0.125,0.5,0.375,0.375,36,6,0.36607440491657106,0.2860645085504065,0.2860645085504065,0.36607440491657106,0.35259921925273485,0.3662791360526881,0.35259921925273485,0.32024308392984074,0.36607440491657106,0.3689305804660999,0.3410458072916159,0.35259921925273485,0.3574384359445668,0.3689305804660999,0.3689305804660999,0.37725948521632136,0.3563104761458228,0.36136878086442237,0.32289546498964417,0.32289546498964417,0.3557181674011886,0.36607440491657106,2.103448275862069,0.36607440491657106
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.0,0.5,0.0,0.25,0.125,36,6,0.3389778163096794,0.303918022100423,0.303918022100423,0.3389778163096794,0.3389778163096794,0.3451452627559773,0.3453751119960221,0.3402961995926095,0.3389778163096794,0.3453751119960221,0.34510615186940596,0.3389778163096794,0.3451452627559773,0.3453751119960221,0.3453751119960221,0.3502333529175452,0.3471521947343632,0.33989523397601273,0.321557727791742,0.321557727791742,0.34734671909804293,0.3389778163096794,2.103448275862069,0.3389778163096794
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.25,0.125,0.0,0.375,0.125,36,6,0.3369051347496993,0.2932025638241235,0.2932025638241235,0.3369051347496993,0.33745830567227153,0.33745830567227153,0.3271908211615788,0.3233407856797046,0.3369051347496993,0.33806058789850046,0.3277560335734916,0.3369051347496993,0.3347523382345462,0.33806058789850046,0.33806058789850046,0.3583388044359222,0.31472771756998374,0.3405215764982379,0.3116469725695917,0.3116469725695917,0.3294958541280364,0.3369051347496993,2.103448275862069,0.3369051347496993
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.5,0.125,0.375,0.25,0.0,36,6,0.343404407016364,0.2753089712494937,0.2753089712494937,0.343404407016364,0.3360133295478735,0.3432340376063358,0.3360133295478735,0.32457460443404146,0.343404407016364,0.34558802100229813,0.3535127737009133,0.3407538672706054,0.3432340376063358,0.34558802100229813,0.34558802100229813,0.3553738751143306,0.34078192626417536,0.3420024105738499,0.32444054451927323,0.32444054451927323,0.35377669667051637,0.343404407016364,2.103448275862069,0.343404407016364
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.375,0.375,0.25,0.25,0.5,36,6,0.2914304202648666,0.23274313744244954,0.23274313744244954,0.2914304202648666,0.299857983645227,0.29814666987428845,0.28971405649036147,0.2713592943300543,0.2914304202648666,0.299857983645227,0.2883184738149768,0.29814666987428845,0.29814666987428845,0.299857983645227,0.299857983645227,0.3249675330113474,0.27981748426527064,0.3123999079396349,0.24343990655541153,0.2528557009454859,0.292900390274274,0.2914304202648666,2.103448275862069,0.2914304202648666
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.125,0.625,0.0,0.125,0.0,36,6,0.30618006331435954,0.3152956334587505,0.3152956334587505,0.30618006331435954,0.31376374790302597,0.32164280167877296,0.3327370113829483,0.33511368388873275,0.3152956334587505,0.3381551014908748,0.3351191329323862,0.30618006331435954,0.31376374790302597,0.3381551014908748,0.3381551014908748,0.35449847052617495,0.3359411897922321,0.33101377855327474,0.2951006042697169,0.2974783565145368,0.34570342080658706,0.30618006331435954,2.103448275862069,0.30618006331435954
