dataset,target,seed,n_partners,n_target,epv_target,kind,benefit,helped,slope_last,climb_half,level
mimic-11site,TSICU-care,0,2,1880,6.53125,gb,0.01686508677902049,1,0.16727072418494973,0.10426367525993961,0.33638860614921695
mimic-11site,TSICU-care,1,2,1880,6.53125,lr,0.022864195431086143,1,0.0648333833756664,0.09658721969689053,0.3301993645551425
mimic-11site,TSICU-care,1,2,1880,6.53125,gb,0.0038977419215471265,1,0.08036676309312167,0.14614303513030433,0.2967779574091579
mimic-11site,TSICU-care,0,2,1880,6.53125,lr,0.02080063252553338,1,0.038953705011981705,-0.008583366077962923,0.327345931315312
mimic-11site,TSICU-care,0,2,1880,6.53125,gb,0.0299150958673019,1,0.16727072418494973,0.10426367525993961,0.33638860614921695
mimic-11site,TSICU-care,1,2,1880,6.53125,lr,0.03950446232106952,1,0.0648333833756664,0.09658721969689053,0.3301993645551425
mimic-11site,TSICU-care,1,2,1880,6.53125,gb,0.016090547218750417,1,0.08036676309312167,0.14614303513030433,0.2967779574091579
mimic-11site,TSICU-meta,0,4,1527,5.2,lr,0.024005592460286718,1,0.11388886162654858,0.17445148035089092,0.3769614342580209
mimic-11site,TSICU-meta,0,4,1527,5.2,gb,0.03994319800993623,1,0.09497149757400494,0.043694277369271374,0.31054518572248196
mimic-11site,TSICU-meta,1,4,1527,5.2,lr,-0.013679205351031842,0,0.02095793526378832,0.028680560693773255,0.3426888437776287
mimic-11site,TSICU-meta,1,4,1527,5.2,gb,0.011448895765109934,1,0.0024961159681233646,0.09105013238400328,0.3157134290070607
mimic-11site,TSICU-meta,0,4,1527,5.2,lr,0.0698610056806252,1,0.11388886162654858,0.17445148035089092,0.3769614342580209
mimic-11site,TSICU-meta,0,4,1527,5.2,gb,0.053066831116431346,1,0.09497149757400494,0.043694277369271374,0.31054518572248196
mimic-11site,TSICU-meta,1,4,1527,5.2,lr,-0.03260401289584819,0,0.02095793526378832,0.028680560693773255,0.3426888437776287
mimic-11site,TSICU-meta,1,4,1527,5.2,gb,0.037656260169832645,1,0.0024961159681233646,0.09105013238400328,0.3157134290070607
