dataset,target,seed,k_partners,epv_target,w_nweight,w_oracle,w_cv,auprc_merge,auprc_local,auprc_oracle,auprc_cv,auprc_w0,auprc_w1,auprc_w2,auprc_w3,auprc_w4,auprc_w5,auprc_w6,auprc_w7,auprc_w8,auprc_w9,auprc_w10
mimic_sites_unit_x_system,CCU-care,4,4,11.0,0.18719482841620247,0.8,0.4,0.35517028371477893,0.37030428858443487,0.3706817506110115,0.3648007911529178,0.35517028371477893,0.35707609513351424,0.3575887384054552,0.3626727883826243,0.3648007911529178,0.365677748505858,0.3661742479285095,0.3704377118499941,0.3706817506110115,0.3693889997386973,0.37030428858443487
mimic_sites_unit_x_system,CCU-care,5,4,11.0,0.18719482841620247,0.3,0.4,0.325070965743688,0.31879010754450504,0.3255654689340931,0.32485124221712974,0.325070965743688,0.32396704009972377,0.3254268545143657,0.3255654689340931,0.32485124221712974,0.3230928476931737,0.32246299575785214,0.3220421770255322,0.32163238765966223,0.3191965122752645,0.31879010754450504
mimic_sites_unit_x_system,CCU-care,6,4,11.0,0.18719482841620247,0.9,0.5,0.2866938889927366,0.29045431431887386,0.29133416697390707,0.28919926548877734,0.2866938889927366,0.2878398021582325,0.28797029514420214,0.28833865045564955,0.28861820602947125,0.28919926548877734,0.28976858750419887,0.2907042673515537,0.29105280184318816,0.29133416697390707,0.29045431431887386
mimic_sites_unit_x_system,CCU-care,7,4,11.0,0.18719482841620247,1.0,0.6,0.32767271551106386,0.350205985436249,0.350205985436249,0.3446836299674905,0.32767271551106386,0.3321041195274477,0.3376178925003536,0.34046662156099317,0.34329859092739573,0.34356589763213874,0.3446836299674905,0.347320875949011,0.3485240652387259,0.34943926305473144,0.350205985436249
mimic_sites_unit_x_system,CCU-care,8,4,11.0,0.18719482841620247,0.4,0.5,0.3253114209608782,0.33385763669048685,0.33487292921104583,0.3340182708710308,0.3253114209608782,0.3266175163986348,0.328099104599099,0.3317145725955956,0.33487292921104583,0.3340182708710308,0.33408004571649613,0.334023035942476,0.33378056929526817,0.3345644144493262,0.33385763669048685
mimic_sites_unit_x_system,CCU-care,9,4,11.0,0.18719482841620247,0.7,0.5,0.2718791987952836,0.2802494732074997,0.28080185964714877,0.28012127372587947,0.2718791987952836,0.27257244686578797,0.2784280361341936,0.2793846946963973,0.2800749179055434,0.28012127372587947,0.2806616826289168,0.28080185964714877,0.280151410222545,0.28043680868748005,0.2802494732074997
mimic_sites_unit_x_system,CCU-care,0,3,11.0,0.17334267337451442,0.1,0.3,0.3295397921118194,0.32454866361846046,0.33162275916266043,0.3298816843885733,0.3295397921118194,0.33162275916266043,0.3301613348374399,0.3298816843885733,0.33148502280618863,0.33026313493061565,0.32930389085106127,0.32664402483668853,0.3264409884028589,0.32691191320211016,0.32454866361846046
mimic_sites_unit_x_system,CCU-care,1,3,11.0,0.17334267337451442,0.0,0.6,0.38921029305396415,0.35452268230858486,0.38921029305396415,0.36553498273793733,0.38921029305396415,0.3861326225875235,0.3815767509837096,0.3768594326514908,0.37350231827735925,0.367459728025491,0.36553498273793733,0.3623642678772702,0.36019270677250204,0.35769118952975015,0.35452268230858486
mimic_sites_unit_x_system,CCU-care,2,3,11.0,0.17334267337451442,0.8,0.1,0.37019316393336327,0.3887820065199243,0.3899627372275581,0.3735059113471665,0.37019316393336327,0.3735059113471665,0.37578055835868374,0.3789129456535577,0.3813889234830044,0.38272388811983765,0.3838946218439095,0.3884972175638512,0.3899627372275581,0.389523357036697,0.3887820065199243
mimic_sites_unit_x_system,CCU-care,3,3,11.0,0.17334267337451442,0.7,0.7,0.3828691477018818,0.3876636737731536,0.3896344384957305,0.3896344384957305,0.3828691477018818,0.3838564330908944,0.3871196258986673,0.3888401876221823,0.38893423261365206,0.3890112608674956,0.38850420233543853,0.3896344384957305,0.3886009594351682,0.387830957626278,0.3876636737731536
mimic_sites_unit_x_system,CCU-care,4,3,11.0,0.17334267337451442,1.0,0.3,0.34786159530707794,0.35444070292012747,0.35444070292012747,0.3533559805058352,0.34786159530707794,0.3491070459073018,0.35145672104579767,0.3533559805058352,0.35399178382272417,0.3533533705891258,0.35172293055105197,0.35399270417105344,0.35438682620194645,0.3539628706564062,0.35444070292012747
mimic_sites_unit_x_system,CCU-care,5,3,11.0,0.17334267337451442,0.8,0.3,0.3311219741437725,0.34017066387482375,0.3403206349052982,0.33748828681310383,0.3311219741437725,0.3337779273256421,0.33593915879210356,0.33748828681310383,0.3391469802435989,0.33915847636532503,0.3385062681120089,0.33974865340840527,0.3403206349052982,0.33982914709766904,0.34017066387482375
mimic_sites_unit_x_system,CCU-care,6,3,11.0,0.17334267337451442,0.2,0.7,0.33263720526932766,0.33273899524675615,0.336795870947611,0.33433383173053316,0.33263720526932766,0.3353708128174392,0.336795870947611,0.3352404250094982,0.33565920501202656,0.3352774812276898,0.3357638055401171,0.33433383173053316,0.33492836360530626,0.3331561695140369,0.33273899524675615
mimic_sites_unit_x_system,CCU-care,7,3,11.0,0.17334267337451442,0.5,0.6,0.41136682237759054,0.4056399936627589,0.4161400407247561,0.415883620437232,0.41136682237759054,0.413144979307257,0.41533778621891576,0.4152426867811146,0.4155362628374904,0.4161400407247561,0.415883620437232,0.4127737812231347,0.4118756331385884,0.40849922035978714,0.4056399936627589
mimic_sites_unit_x_system,CCU-care,8,3,11.0,0.17334267337451442,1.0,0.3,0.3430604943154427,0.3551525140638202,0.3551525140638202,0.34923715647455156,0.3430604943154427,0.34342601037957776,0.34701223405402437,0.34923715647455156,0.3522993896898057,0.35370563257867793,0.3532925862297608,0.35344828369280484,0.35423489826888693,0.3550172099219466,0.3551525140638202
mimic_sites_unit_x_system,CCU-care,9,3,11.0,0.17334267337451442,0.0,0.9,0.3217938763495892,0.31168832616800846,0.3217938763495892,0.313171803131911,0.3217938763495892,0.3204858600651392,0.3212409308934324,0.31972706545043195,0.3183085364680299,0.3209881450128109,0.3182463500833628,0.31734387262375124,0.31544734050520584,0.313171803131911,0.31168832616800846
