target,target_db,seed,n_partners,n_cross,frac_cross,epv_target,n_target,benefit,helped
m3:CSRU-meta,0,1,1,0,0.0,1.7058823529411764,2031,-0.009435637212517667,0
m3:CSRU-meta,0,0,3,2,0.6666666666666666,1.7058823529411764,2031,0.021318823981286927,1
m3:CSRU-meta,0,1,3,2,0.6666666666666666,1.7058823529411764,2031,-0.008977869379832526,0
m3:CSRU-meta,0,0,3,2,0.6666666666666666,1.7058823529411764,2031,-0.05222473410714257,0
m3:CSRU-meta,0,1,3,2,0.6666666666666666,1.7058823529411764,2031,-0.01880208804134645,0
m3:CSRU-meta,0,0,3,2,0.6666666666666666,1.7058823529411764,2031,0.05373297246459663,1
m3:CSRU-meta,0,1,3,2,0.6666666666666666,1.7058823529411764,2031,-0.01771192589738635,0
m3:CSRU-meta,0,0,2,2,1.0,1.7058823529411764,2031,0.077562706568917,1
m3:CSRU-meta,0,1,2,2,1.0,1.7058823529411764,2031,-0.02280945304577331,0
m3:CSRU-meta,0,0,1,1,1.0,1.7058823529411764,2031,0.02014245628380229,1
m3:CSRU-meta,0,1,1,1,1.0,1.7058823529411764,2031,-0.0373833032731225,0
m3:CSRU-meta,0,0,1,1,1.0,1.7058823529411764,2031,-0.00383271784995326,0
m3:CSRU-meta,0,1,1,1,1.0,1.7058823529411764,2031,-0.028575443801719613,0
m3:CSRU-meta,0,0,3,3,1.0,1.7058823529411764,2031,-0.0813520842078364,0
m3:CSRU-meta,0,1,3,3,1.0,1.7058823529411764,2031,-0.0446514011618781,0
m3:CSRU-meta,0,0,1,1,1.0,1.7058823529411764,2031,-0.042171691228235386,0
m3:CSRU-meta,0,1,1,1,1.0,1.7058823529411764,2031,-0.07993825993408946,0
m3:CSRU-meta,0,0,1,1,1.0,1.7058823529411764,2031,0.027180328237262186,1
m3:CSRU-meta,0,1,1,1,1.0,1.7058823529411764,2031,-0.05512781298405481,0
m3:MICU-care,0,0,4,0,0.0,35.0,5985,-0.030975201225056703,0
m3:MICU-care,0,1,4,0,0.0,35.0,5985,-0.00984990562121485,0
m3:MICU-care,0,0,2,0,0.0,35.0,5985,-0.014818417905224202,0
m3:MICU-care,0,1,2,0,0.0,35.0,5985,0.007886776679957241,1
m3:MICU-care,0,0,4,2,0.5,35.0,5985,-0.04408230587630929,0
m3:MICU-care,0,1,4,2,0.5,35.0,5985,-0.019245530646929132,0
m3:MICU-care,0,0,1,0,0.0,35.0,5985,-0.027817789815691107,0
m3:MICU-care,0,1,1,0,0.0,35.0,5985,-0.015959258848070368,0
m3:MICU-care,0,0,3,1,0.3333333333333333,35.0,5985,-0.020605267608942213,0
m3:MICU-care,0,1,3,1,0.3333333333333333,35.0,5985,-0.017337623375153932,0
m3:MICU-care,0,0,4,3,0.75,35.0,5985,-0.010667005056700707,0
m3:MICU-care,0,1,4,3,0.75,35.0,5985,0.0015078534023454937,1
m3:MICU-care,0,0,3,2,0.6666666666666666,35.0,5985,-0.003634595623110415,0
m3:MICU-care,0,1,3,2,0.6666666666666666,35.0,5985,-0.00014086975161992088,0
m3:MICU-care,0,0,2,1,0.5,35.0,5985,-0.016517081615393836,0
m3:MICU-care,0,1,2,1,0.5,35.0,5985,0.003126619134876718,1
m3:MICU-care,0,0,3,2,0.6666666666666666,35.0,5985,-0.027387409285877795,0
m3:MICU-care,0,1,3,2,0.6666666666666666,35.0,5985,-0.005287418129408916,0
m3:MICU-care,0,0,1,0,0.0,35.0,5985,-0.005370844163520294,0
m3:MICU-care,0,1,1,0,0.0,35.0,5985,-0.0007202665202368785,0
m3:MICU-care,0,0,2,1,0.5,35.0,5985,0.003259558375516336,1
m3:MICU-care,0,1,2,1,0.5,35.0,5985,0.00531057654388567,1
m3:MICU-care,0,0,2,1,0.5,35.0,5985,-0.04030944714199902,0
m3:MICU-care,0,1,2,1,0.5,35.0,5985,-0.0471022951463681,0
m3:MICU-care,0,0,1,0,0.0,35.0,5985,-0.0003532221273505054,0
m3:MICU-care,0,1,1,0,0.0,35.0,5985,-0.0009593569468619445,0
m3:MICU-care,0,0,4,3,0.75,35.0,5985,-0.021753664318105936,0
m3:MICU-care,0,1,4,3,0.75,35.0,5985,-0.01478164348841643,0
m3:MICU-care,0,0,3,2,0.6666666666666666,35.0,5985,-0.019626247880702663,0
m3:MICU-care,0,1,3,2,0.6666666666666666,35.0,5985,-0.014051424895393627,0
m3:MICU-care,0,0,1,0,0.0,35.0,5985,-0.0014112230533941394,0
m3:MICU-care,0,1,1,0,0.0,35.0,5985,-0.0016558176702303196,0
m3:MICU-care,0,0,2,1,0.5,35.0,5985,-0.014093301696571525,0
m3:MICU-care,0,1,2,1,0.5,35.0,5985,-0.013971923122477303,0
m3:MICU-care,0,0,2,2,1.0,35.0,5985,-0.01559924490280895,0
m3:MICU-care,0,1,2,2,1.0,35.0,5985,-0.011878525636487058,0
m3:MICU-care,0,0,2,2,1.0,35.0,5985,-0.02594871051989578,0
m3:MICU-care,0,1,2,2,1.0,35.0,5985,-0.01652317293878669,0
m3:MICU-care,0,0,1,1,1.0,35.0,5985,0.0011338708942728037,1
m3:MICU-care,0,1,1,1,1.0,35.0,5985,0.0009178254165854716,1
m3:MICU-care,0,0,1,1,1.0,35.0,5985,-0.0013023463473694763,0
m3:MICU-care,0,1,1,1,1.0,35.0,5985,-0.0035374492209067077,0
m3:MICU-care,0,0,1,1,1.0,35.0,5985,-0.01012169165027782,0
m3:MICU-care,0,1,1,1,1.0,35.0,5985,-0.006467408833646993,0
m3:MICU-meta,0,0,3,1,0.3333333333333333,27.96,5469,0.0034441238604661084,1
m3:MICU-meta,0,1,3,1,0.3333333333333333,27.96,5469,-0.001122829853862195,0
