benefit,benefit_w5,dataset,eps,epv_target,fedavg_10r,fedavg_1r,fedavg_2r,fedavg_30r,fedavg_5r,local,merge,merge_w5,n_partners,n_target,seed,target
-0.009422102366160867,-0.018992684751536204,mimic-11site,1.0,25.88888888888889,-0.0996900670064837,-0.10257130687261495,-0.12874983914926502,-0.1273839560456351,-0.0983090423791563,0.29545031929239,0.28602821692622915,0.2764576345408538,2,5469,1,MICU-meta
0.008742400144109708,0.005403083631708383,mimic-11site,2.0,25.88888888888889,-0.19445440255528984,-0.1718363627524176,-0.1592600229973696,-0.15523177582411704,-0.13050271594577922,0.3340671469400147,0.3428095470841244,0.3394702305717231,2,5469,1,MICU-meta
-0.013922485511339622,-0.015864873861942463,mimic-11site,5.0,25.88888888888889,-0.14729933382028204,-0.09069613279627015,-0.19249587460025852,-0.19232036740435168,-0.1847030928998672,0.3516449463581777,0.3377224608468381,0.33578007249623526,2,5469,1,MICU-meta
-0.012951381739144008,-0.013808680509478088,mimic-11site,10.0,25.88888888888889,-0.10985320074162441,-0.09252857362856087,-0.12474310860387613,-0.16002624017729877,-0.09846901118295803,0.3515017324488143,0.33855035070967027,0.3376930519393362,2,5469,1,MICU-meta
-0.007651006263128923,-0.00996819342335864,mimic-11site,inf,25.88888888888889,-0.03655136280679522,-0.06962937108441675,-0.06126393287924908,-0.008005285463288658,-0.04729238710943656,0.3484685334557032,0.3408175271925743,0.3385003400323446,2,5469,1,MICU-meta
0.03520107207891934,0.025799489485198668,mimic-11site,0.1,10.709677419354838,0.009360150192903038,0.011642477417822206,0.005484643785911403,-0.0019944971364777297,0.04194679007310165,0.16235669621575233,0.19755776829467167,0.188156185700951,3,2489,0,SICU-care
0.026828058109920172,0.020071982595098653,mimic-11site,0.5,10.709677419354838,-0.005958408518757535,-0.00478588204308833,-0.0005069272756297594,0.03917444785888799,0.010600733162062725,0.14634985065977482,0.173177908769695,0.16642183325487347,3,2489,0,SICU-care
0.019327432878105483,0.014220870398686497,mimic-11site,1.0,10.709677419354838,-0.0076482675586023174,0.0219758986625872,-0.011629915638227017,-0.021979290219553166,-0.0012659719010065795,0.16169225045018093,0.1810196833282864,0.17591312084886743,3,2489,0,SICU-care
-0.0313068835616333,-0.013781954109991279,mimic-11site,2.0,10.709677419354838,-0.07722194203946481,-0.11407393130553328,-0.07919630322626087,-0.12795367911272593,-0.11098953810829626,0.2793921174647447,0.24808523390311138,0.2656101633547534,3,2489,0,SICU-care
-0.013597249639149267,-0.006106042967204184,mimic-11site,5.0,10.709677419354838,-0.08494669101061225,-0.07568729361762755,-0.06719322595167773,-0.10567135592085453,-0.033557669671728074,0.2776911488005143,0.26409389916136505,0.27158510583331014,3,2489,0,SICU-care
