dataset,target,seed,epv_target,k_partners,bias2,variance,auprc,n_draws
mimic-11site,SICU-meta,1,9.548,2,0.9370777092708723,0.33542831335016626,0.2658621744080845,24
mimic-11site,SICU-meta,1,9.548,3,1.2375501976259693,0.20614781927570483,0.2592112134463997,24
mimic-11site,SICU-meta,1,9.548,4,1.2129861065812406,0.1729805551896777,0.25535361747647217,24
mimic-11site,TSICU-care,0,6.5406249999999995,0,0.05823252857908967,0.8148835956710916,0.2801408744143643,24
mimic-11site,TSICU-care,0,6.5406249999999995,1,0.7763777798992509,0.8546322697227741,0.28930642679484336,24
mimic-11site,TSICU-care,0,6.5406249999999995,2,1.0594055205899626,0.5620439131605338,0.2823123758651534,24
mimic-11site,TSICU-care,0,6.5406249999999995,3,1.241256653003684,0.32232878229424833,0.2862646649133383,24
mimic-11site,TSICU-care,0,6.5406249999999995,4,1.3198387148048965,0.194615512156324,0.28195715638554747,24
mimic-11site,TSICU-care,1,6.5406249999999995,0,0.149606790930552,0.641758506027479,0.28809915502036504,24
mimic-11site,TSICU-care,1,6.5406249999999995,1,1.2608525301500935,0.7850160967857893,0.3067673931506966,24
mimic-11site,TSICU-care,1,6.5406249999999995,2,1.630557680665866,0.5798078532722419,0.3059325095884573,24
mimic-11site,TSICU-care,1,6.5406249999999995,3,1.8737297370553074,0.475023265958316,0.29765805839288356,24
mimic-11site,TSICU-care,1,6.5406249999999995,4,1.914225010096729,0.30038874930325843,0.29507900578262886,24
mimic-11site,TSICU-meta,0,5.203333333333333,0,0.12792616515282654,0.9809151678808185,0.27557021306125123,24
mimic-11site,TSICU-meta,0,5.203333333333333,1,1.1232498370347566,1.0829636745445732,0.3191348866415156,24
mimic-11site,TSICU-meta,0,5.203333333333333,2,1.278793568057916,0.513224026946317,0.3421880813314539,24
mimic-11site,TSICU-meta,0,5.203333333333333,3,1.6029657532006933,0.3593193827058912,0.34285113433652165,24
mimic-11site,TSICU-meta,0,5.203333333333333,4,1.608378764300555,0.22437884751988602,0.34820370359976627,24
mimic-11site,TSICU-meta,1,5.203333333333333,0,0.3169886076098042,0.9359285885146088,0.2736803618489904,24
mimic-11site,TSICU-meta,1,5.203333333333333,1,0.8397786167626545,0.8943033598808748,0.27299051153130116,24
mimic-11site,TSICU-meta,1,5.203333333333333,2,1.3448472556244526,0.5834118364403643,0.2795491888682638,24
mimic-11site,TSICU-meta,1,5.203333333333333,3,1.6953112567191932,0.3043132321547014,0.28173440013665774,24
mimic-11site,TSICU-meta,1,5.203333333333333,4,1.8495045431289334,0.1568626538171946,0.29032268813104023,24
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,7.2333333333333325,0,0.020659401059906088,0.5964729874017554,0.30703922814336854,24
