chose_chosen,dataset,epv_target,gain_vs_best_solo,gain_vs_default,gain_vs_selected,gain_vs_tuned,local_best_solo,local_default,local_selected,local_tuned,merge,n_partners,n_target,seed,target
tuned,mimic-11site,32.666666666666664,-0.03391762937054449,-0.033220634735464105,-0.03391762937054449,-0.03391762937054449,0.4348329684955053,0.4341359738604249,0.4348329684955053,0.4348329684955053,0.4009153391249608,4,5985,0,MICU-care
tuned,mimic-11site,32.666666666666664,-0.011345828355125709,-0.011048933030633368,-0.012370221534246273,-0.011345828355125709,0.3965488727098075,0.39625197738531515,0.39757326588892805,0.3965488727098075,0.3852030443546818,4,5985,1,MICU-care
tuned,mimic-11site,32.666666666666664,-0.0301694420494919,-0.029472447414411518,-0.0301694420494919,-0.0301694420494919,0.4348329684955053,0.4341359738604249,0.4348329684955053,0.4348329684955053,0.4046635264460134,2,5985,0,MICU-care
tuned,mimic-11site,32.666666666666664,-0.009004984176141151,-0.00870808885164881,-0.010029377355261715,-0.009004984176141151,0.3965488727098075,0.39625197738531515,0.39757326588892805,0.3965488727098075,0.38754388853366634,2,5985,1,MICU-care
tuned,mimic-11site,32.666666666666664,-0.029262246855544793,-0.02856525222046441,-0.029262246855544793,-0.029262246855544793,0.4348329684955053,0.4341359738604249,0.4348329684955053,0.4348329684955053,0.4055707216399605,2,5985,0,MICU-care
tuned,mimic-11site,32.666666666666664,-0.015668519960283733,-0.015371624635791392,-0.016692913139404297,-0.015668519960283733,0.3965488727098075,0.39625197738531515,0.39757326588892805,0.3965488727098075,0.38088035274952375,2,5985,1,MICU-care
tuned,mimic-11site,32.666666666666664,-0.022543439138279442,-0.02184644450319906,-0.022543439138279442,-0.022543439138279442,0.4348329684955053,0.4341359738604249,0.4348329684955053,0.4348329684955053,0.41228952935722585,2,5985,0,MICU-care
tuned,mimic-11site,32.666666666666664,-0.014777930638375736,-0.014481035313883395,-0.0158023238174963,-0.014777930638375736,0.3965488727098075,0.39625197738531515,0.39757326588892805,0.3965488727098075,0.38177094207143175,2,5985,1,MICU-care
tuned,mimic-11site,32.666666666666664,-0.0034339594583844835,-0.0027369648233041,-0.0034339594583844835,-0.0034339594583844835,0.4348329684955053,0.4341359738604249,0.4348329684955053,0.4348329684955053,0.4313990090371208,1,5985,0,MICU-care
tuned,mimic-11site,32.666666666666664,-0.00246402887378383,-0.002167133549291489,-0.003488422052904394,-0.00246402887378383,0.3965488727098075,0.39625197738531515,0.39757326588892805,0.3965488727098075,0.39408484383602366,1,5985,1,MICU-care
tuned,mimic-11site,25.88888888888889,-0.022040261086690383,-0.02070556559602904,-0.020929346852019914,-0.022040261086690383,0.38334699663139393,0.3820123011407326,0.38223608239672346,0.38334699663139393,0.36130673554470355,4,5469,0,MICU-meta
tuned,mimic-11site,25.88888888888889,-0.02239581763810472,-0.02119184156632037,-0.022357390633551966,-0.02239581763810472,0.3955050645305779,0.3943010884587935,0.3954666375260251,0.3955050645305779,0.37310924689247316,4,5469,1,MICU-meta
tuned,mimic-11site,25.88888888888889,-0.08301973044867023,-0.08168503495800888,-0.08190881621399976,-0.08301973044867023,0.38334699663139393,0.3820123011407326,0.38223608239672346,0.38334699663139393,0.3003272661827237,3,5469,0,MICU-meta
tuned,mimic-11site,25.88888888888889,-0.04370607295077528,-0.042502096878990925,-0.04366764594622252,-0.04370607295077528,0.3955050645305779,0.3943010884587935,0.3954666375260251,0.3955050645305779,0.3517989915798026,3,5469,1,MICU-meta
tuned,mimic-11site,25.88888888888889,-0.03968570477704708,-0.03835100928638574,-0.038574790542376614,-0.03968570477704708,0.38334699663139393,0.3820123011407326,0.38223608239672346,0.38334699663139393,0.34366129185434685,3,5469,0,MICU-meta
tuned,mimic-11site,25.88888888888889,-0.043251403569970315,-0.04204742749818596,-0.04321297656541756,-0.043251403569970315,0.3955050645305779,0.3943010884587935,0.3954666375260251,0.3955050645305779,0.35225366096060756,3,5469,1,MICU-meta
tuned,mimic-11site,25.88888888888889,-0.044795555079192195,-0.043460859588530854,-0.04368464084452173,-0.044795555079192195,0.38334699663139393,0.3820123011407326,0.38223608239672346,0.38334699663139393,0.33855144155220174,3,5469,0,MICU-meta
tuned,mimic-11site,25.88888888888889,-0.04124731981032154,-0.040043343738537185,-0.04120889280576878,-0.04124731981032154,0.3955050645305779,0.3943010884587935,0.3954666375260251,0.3955050645305779,0.35425774472025634,3,5469,1,MICU-meta
tuned,mimic-11site,25.88888888888889,-0.03964530036789088,-0.03831060487722954,-0.03853438613322041,-0.03964530036789088,0.38334699663139393,0.3820123011407326,0.38223608239672346,0.38334699663139393,0.34370169626350305,4,5469,0,MICU-meta
tuned,mimic-11site,25.88888888888889,-0.03452058229997096,-0.03331660622818661,-0.034482155295418204,-0.03452058229997096,0.3955050645305779,0.3943010884587935,0.3954666375260251,0.3955050645305779,0.3609844822306069,4,5469,1,MICU-meta
tuned,mimic-11site,25.88888888888889,0.00557784874909939,0.006912544239760732,0.006688762983769858,0.00557784874909939,0.38334699663139393,0.3820123011407326,0.38223608239672346,0.38334699663139393,0.3889248453804933,1,5469,0,MICU-meta
tuned,mimic-11site,25.88888888888889,-0.012623188207885827,-0.011419212136101475,-0.012584761203333072,-0.012623188207885827,0.3955050645305779,0.3943010884587935,0.3954666375260251,0.3955050645305779,0.38288187632269205,1,5469,1,MICU-meta
tuned,mimic-11site,25.88888888888889,-0.0313987201805187,-0.03006402468985736,-0.030287805945848234,-0.0313987201805187,0.38334699663139393,0.3820123011407326,0.38223608239672346,0.38334699663139393,0.35194827645087523,1,5469,0,MICU-meta
tuned,mimic-11site,25.88888888888889,-0.027588600176078115,-0.026384624104293763,-0.02755017317152536,-0.027588600176078115,0.3955050645305779,0.3943010884587935,0.3954666375260251,0.3955050645305779,0.36791646435449976,1,5469,1,MICU-meta
tuned,mimic-11site,25.88888888888889,-0.015814993547047906,-0.014480298056386565,-0.014704079312377438,-0.015814993547047906,0.38334699663139393,0.3820123011407326,0.38223608239672346,0.38334699663139393,0.367532003084346,1,5469,0,MICU-meta
tuned,mimic-11site,25.88888888888889,-0.007124620762117673,-0.005920644690333321,-0.007086193757564918,-0.007124620762117673,0.3955050645305779,0.3943010884587935,0.3954666375260251,0.3955050645305779,0.3883804437684602,1,5469,1,MICU-meta
tuned,mimic-11site,10.709677419354838,-0.02076812217031898,-0.028070804987342657,-0.011151544949224435,-0.02076812217031898,0.35820836660022787,0.36551104941725154,0.3485917893791333,0.35820836660022787,0.3374402444299089,1,2489,0,SICU-care
default,mimic-11site,10.709677419354838,-0.030496760136772272,-0.030496760136772272,-0.030496760136772272,-0.030496760136772272,0.3666686899186852,0.3666686899186852,0.3666686899186852,0.3666686899186852,0.3361719297819129,1,2489,1,SICU-care
tuned,mimic-11site,10.709677419354838,-0.04253629291609834,-0.049838975733122015,-0.03291971569500379,-0.04253629291609834,0.35820836660022787,0.36551104941725154,0.3485917893791333,0.35820836660022787,0.31567207368412953,4,2489,0,SICU-care
default,mimic-11site,10.709677419354838,0.000520028896051794,0.000520028896051794,0.000520028896051794,0.000520028896051794,0.3666686899186852,0.3666686899186852,0.3666686899186852,0.3666686899186852,0.36718871881473697,4,2489,1,SICU-care
tuned,mimic-11site,10.709677419354838,0.010724118447565434,0.003421435630541758,0.02034069566865998,0.010724118447565434,0.35820836660022787,0.36551104941725154,0.3485917893791333,0.35820836660022787,0.3689324850477933,4,2489,0,SICU-care
default,mimic-11site,10.709677419354838,0.024130969457596296,0.024130969457596296,0.024130969457596296,0.024130969457596296,0.3666686899186852,0.3666686899186852,0.3666686899186852,0.3666686899186852,0.39079965937628147,4,2489,1,SICU-care
tuned,mimic-11site,10.709677419354838,-0.06205980064640182,-0.0693624834634255,-0.05244322342530727,-0.06205980064640182,0.35820836660022787,0.36551104941725154,0.3485917893791333,0.35820836660022787,0.29614856595382605,2,2489,0,SICU-care
default,mimic-11site,10.709677419354838,-0.04543704710689628,-0.04543704710689628,-0.04543704710689628,-0.04543704710689628,0.3666686899186852,0.3666686899186852,0.3666686899186852,0.3666686899186852,0.3212316428117889,2,2489,1,SICU-care
tuned,mimic-11site,10.709677419354838,-0.023244425705366056,-0.030547108522389732,-0.01362784848427151,-0.023244425705366056,0.35820836660022787,0.36551104941725154,0.3485917893791333,0.35820836660022787,0.3349639408948618,3,2489,0,SICU-care
default,mimic-11site,10.709677419354838,-0.003209423540282308,-0.003209423540282308,-0.003209423540282308,-0.003209423540282308,0.3666686899186852,0.3666686899186852,0.3666686899186852,0.3666686899186852,0.36345926637840287,3,2489,1,SICU-care
tuned,mimic-11site,10.709677419354838,-0.05061873262698474,-0.05792141544400842,-0.041002155405890195,-0.05061873262698474,0.35820836660022787,0.36551104941725154,0.3485917893791333,0.35820836660022787,0.3075896339732431,1,2489,0,SICU-care
default,mimic-11site,10.709677419354838,-0.012345523179607465,-0.012345523179607465,-0.012345523179607465,-0.012345523179607465,0.3666686899186852,0.3666686899186852,0.3666686899186852,0.3666686899186852,0.3543231667390777,1,2489,1,SICU-care
tuned,mimic-11site,10.709677419354838,0.03636823209792578,0.029065549280902103,0.045984809319020326,0.03636823209792578,0.35820836660022787,0.36551104941725154,0.3485917893791333,0.35820836660022787,0.39457659869815365,2,2489,0,SICU-care
default,mimic-11site,10.709677419354838,0.030955606989741646,0.030955606989741646,0.030955606989741646,0.030955606989741646,0.3666686899186852,0.3666686899186852,0.3666686899186852,0.3666686899186852,0.3976242969084268,2,2489,1,SICU-care
tuned,mimic-11site,9.56,-0.04145799020997859,-0.03759898756654967,-0.04105012970313543,-0.04145799020997859,0.2733940830567775,0.26953508041334856,0.2729862225499343,0.2733940830567775,0.2319360928467989,1,2276,0,SICU-meta
tuned,mimic-11site,9.56,-0.006260751836060008,-0.0046264968579782795,-0.006260751836060008,-0.006260751836060008,0.2594105474915333,0.2577762925134516,0.2594105474915333,0.2594105474915333,0.2531497956554733,1,2276,1,SICU-meta
tuned,mimic-11site,9.56,-0.04330466228579505,-0.03944565964236613,-0.04289680177895189,-0.04330466228579505,0.2733940830567775,0.26953508041334856,0.2729862225499343,0.2733940830567775,0.23008942077098243,4,2276,0,SICU-meta
